OrphaCode,DisorderName,GeneSymbol,GeneName,GeneLocus
461,Recessive X-linked ichthyosis,STS,steroid sulfatase,Xp22.31
584,Mucopolysaccharidosis type 7,GUSB,glucuronidase beta,7q11.21
166412,Hot water reflex epilepsy,SLC1A1,solute carrier family 1 member 1,9p24.2
95,Friedreich ataxia,FXN,frataxin,9q21.11
586,Cystic fibrosis,SERPINA1,serpin family A member 1,14q32.13
586,Cystic fibrosis,SLC26A9,solute carrier family 26 member 9,1q32.1
586,Cystic fibrosis,SLC6A14,solute carrier family 6 member 14,Xq23
586,Cystic fibrosis,SLC9A3,solute carrier family 9 member A3,5p15.33
586,Cystic fibrosis,CEACAM3,CEA cell adhesion molecule 3,19q13.2
586,Cystic fibrosis,CEACAM6,CEA cell adhesion molecule 6,19q13.2
586,Cystic fibrosis,EDNRA,endothelin receptor type A,4q31.22-q31.23
586,Cystic fibrosis,GSTM3,glutathione S-transferase mu 3,1p13.3
586,Cystic fibrosis,HMOX1,heme oxygenase 1,22q12.3
586,Cystic fibrosis,GCLC,glutamate-cysteine ligase catalytic subunit,6p12.1
586,Cystic fibrosis,HFE,homeostatic iron regulator,6p22.2
586,Cystic fibrosis,CFTR,CF transmembrane conductance regulator,7q31.2
586,Cystic fibrosis,TGFB1,transforming growth factor beta 1,19q13.2
586,Cystic fibrosis,DCTN4,dynactin subunit 4,5q33.1
586,Cystic fibrosis,CLCA4,chloride channel accessory 4,1p22.3
586,Cystic fibrosis,STX1A,syntaxin 1A,7q11.23
586,Cystic fibrosis,KCNN4,potassium calcium-activated channel subfamily N member 4,19q13.31
586,Cystic fibrosis,MIF,macrophage migration inhibitory factor,22q11.23
586,Cystic fibrosis,SLC11A1,solute carrier family 11 member 1,2q35
550,MELAS,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),mitochondria
550,MELAS,MT-CO1,mitochondrially encoded cytochrome c oxidase I,mitochondria
550,MELAS,MT-CO2,mitochondrially encoded cytochrome c oxidase II,mitochondria
550,MELAS,MT-CO3,mitochondrially encoded cytochrome c oxidase III,mitochondria
550,MELAS,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,mitochondria
550,MELAS,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,mitochondria
550,MELAS,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,mitochondria
550,MELAS,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,mitochondria
550,MELAS,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,mitochondria
550,MELAS,MT-TW,mitochondrially encoded tRNA-Trp (UGA/G),mitochondria
550,MELAS,MT-TH,mitochondrially encoded tRNA-His (CAU/C),mitochondria
550,MELAS,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,mitochondria
550,MELAS,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,mitochondria
550,MELAS,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),mitochondria
269,Facioscapulohumeral dystrophy,DNMT3B,DNA methyltransferase 3 beta,20q11.21
269,Facioscapulohumeral dystrophy,DUX4,double homeobox 4,4q35.2
269,Facioscapulohumeral dystrophy,DUX4L1,double homeobox 4 like 1 (pseudogene),4q35.2
269,Facioscapulohumeral dystrophy,FRG1,FSHD region gene 1,4q35.2
269,Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,18p11.32
269,Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,18p11.32
480,Kearns-Sayre syndrome,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8,mitochondria
480,Kearns-Sayre syndrome,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,8q22.3
480,Kearns-Sayre syndrome,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,mitochondria
551,MERRF,MT-TP,mitochondrially encoded tRNA-Pro (CCN),mitochondria
551,MERRF,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,mitochondria
551,MERRF,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,mitochondria
551,MERRF,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G),mitochondria
551,MERRF,MT-RNR1,mitochondrially encoded 12S rRNA,mitochondria
551,MERRF,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),mitochondria
551,MERRF,MT-TH,mitochondrially encoded tRNA-His (CAU/C),mitochondria
551,MERRF,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,mitochondria
551,MERRF,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,mitochondria
551,MERRF,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),mitochondria
597,Central core disease,RYR1,ryanodine receptor 1,19q13.2
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,SOX10,SRY-box transcription factor 10,22q13.1
684,Paramyotonia congenita of Von Eulenburg,SCN4A,sodium voltage-gated channel alpha subunit 4,17q23.3
163931,Acrodermatitis continua of Hallopeau,IL36RN,interleukin 36 receptor antagonist,2q14.1
163931,Acrodermatitis continua of Hallopeau,AP1S3,adaptor related protein complex 1 subunit sigma 3,2q36.1
163927,Pustulosis palmaris et plantaris,IL36RN,interleukin 36 receptor antagonist,2q14.1
163927,Pustulosis palmaris et plantaris,AP1S3,adaptor related protein complex 1 subunit sigma 3,2q36.1
163937,"X-linked intellectual disability, Najm type",CASK,calcium/calmodulin dependent serine protein kinase,Xp11.4
614,Thomsen and Becker disease,CLCN1,chloride voltage-gated channel 1,7q34
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",HDAC6,histone deacetylase 6,Xp11.23
163976,"X-linked intellectual disability, Van Esch type",POLA1,"DNA polymerase alpha 1, catalytic subunit",Xp22.11-p21.3
163956,"X-linked intellectual disability, Nascimento type",UBE2A,ubiquitin conjugating enzyme E2 A,Xq24
324,Fabry disease,GLA,galactosidase alpha,Xq22.1
163985,Hyperekplexia-epilepsy syndrome,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,Xq11.1
778,Rett syndrome,MECP2,methyl-CpG binding protein 2,Xq28
307,Juvenile myoclonic epilepsy,CILK1,ciliogenesis associated kinase 1,6p12.1
307,Juvenile myoclonic epilepsy,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,2q23.3
307,Juvenile myoclonic epilepsy,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,5q34
307,Juvenile myoclonic epilepsy,EFHC1,EF-hand domain containing 1,6p12.2
307,Juvenile myoclonic epilepsy,GABRD,gamma-aminobutyric acid type A receptor subunit delta,1p36.33
307,Juvenile myoclonic epilepsy,KCNQ3,potassium voltage-gated channel subfamily Q member 3,8q24.22
307,Juvenile myoclonic epilepsy,JRK,Jrk helix-turn-helix protein,8q24.3
307,Juvenile myoclonic epilepsy,CLCN2,chloride voltage-gated channel 2,3q27.1
1941,Juvenile absence epilepsy,EFHC1,EF-hand domain containing 1,6p12.2
892,Von Hippel-Lindau disease,CCND1,cyclin D1,11q13.3
892,Von Hippel-Lindau disease,VHL,von Hippel-Lindau tumor suppressor,3p25.3
731,Autosomal recessive polycystic kidney disease,DZIP1L,DAZ interacting zinc finger protein 1 like,3q22.3
731,Autosomal recessive polycystic kidney disease,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,6p12.3-p12.2
164736,Familial advanced sleep-phase syndrome,PER3,period circadian regulator 3,1p36.23
164736,Familial advanced sleep-phase syndrome,CSNK1D,casein kinase 1 delta,17q25.3
164736,Familial advanced sleep-phase syndrome,PER2,period circadian regulator 2,2q37.3
138,CHARGE syndrome,SEMA3E,semaphorin 3E,7q21.11
138,CHARGE syndrome,CHD7,chromodomain helicase DNA binding protein 7,8q12.2
803,Amyotrophic lateral sclerosis,CCNF,cyclin F,16p13.3
803,Amyotrophic lateral sclerosis,TAF15,TATA-box binding protein associated factor 15,17q12
803,Amyotrophic lateral sclerosis,ANXA11,annexin A11,10q22.3
803,Amyotrophic lateral sclerosis,CFAP410,cilia and flagella associated protein 410,21q22.3
803,Amyotrophic lateral sclerosis,GLE1,GLE1 RNA export mediator,9q34.11
803,Amyotrophic lateral sclerosis,NEK1,NIMA related kinase 1,4q33
803,Amyotrophic lateral sclerosis,GLT8D1,glycosyltransferase 8 domain containing 1,3p21.1
803,Amyotrophic lateral sclerosis,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,22q11.23
803,Amyotrophic lateral sclerosis,DAO,D-amino acid oxidase,12q24.11
803,Amyotrophic lateral sclerosis,ATXN2,ataxin 2,12q24.12
803,Amyotrophic lateral sclerosis,CHMP2B,charged multivesicular body protein 2B,3p11.2
803,Amyotrophic lateral sclerosis,SOD1,superoxide dismutase 1,21q22.11
803,Amyotrophic lateral sclerosis,TREM2,triggering receptor expressed on myeloid cells 2,6p21.1
803,Amyotrophic lateral sclerosis,VAPB,VAMP associated protein B and C,20q13.32
803,Amyotrophic lateral sclerosis,VCP,valosin containing protein,9p13.3
803,Amyotrophic lateral sclerosis,NEFH,neurofilament heavy chain,22q12.2
803,Amyotrophic lateral sclerosis,OPTN,optineurin,10p13
803,Amyotrophic lateral sclerosis,DCTN1,dynactin subunit 1,2p13.1
803,Amyotrophic lateral sclerosis,TARDBP,TAR DNA binding protein,1p36.22
803,Amyotrophic lateral sclerosis,FIG4,FIG4 phosphoinositide 5-phosphatase,6q21
803,Amyotrophic lateral sclerosis,FUS,FUS RNA binding protein,16p11.2
803,Amyotrophic lateral sclerosis,ANG,angiogenin,14q11.2
803,Amyotrophic lateral sclerosis,MATR3,matrin 3,5q31.2
803,Amyotrophic lateral sclerosis,PRPH,peripherin,12q13.12
803,Amyotrophic lateral sclerosis,PON1,paraoxonase 1,7q21.3
803,Amyotrophic lateral sclerosis,PON2,paraoxonase 2,7q21.3
803,Amyotrophic lateral sclerosis,PON3,paraoxonase 3,7q21.3
803,Amyotrophic lateral sclerosis,SQSTM1,sequestosome 1,5q35.3
803,Amyotrophic lateral sclerosis,UBQLN2,ubiquilin 2,Xp11.21
803,Amyotrophic lateral sclerosis,C9ORF72,C9orf72-SMCR8 complex subunit,9p21.2
803,Amyotrophic lateral sclerosis,PFN1,profilin 1,17p13.2
803,Amyotrophic lateral sclerosis,TBK1,TANK binding kinase 1,12q14.2
803,Amyotrophic lateral sclerosis,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,12q13.13
803,Amyotrophic lateral sclerosis,PPARGC1A,PPARG coactivator 1 alpha,4p15.2
803,Amyotrophic lateral sclerosis,ERBB4,erb-b2 receptor tyrosine kinase 4,2q34
803,Amyotrophic lateral sclerosis,UNC13A,unc-13 homolog A,19p13.11
100,Ataxia-telangiectasia,ATM,ATM serine/threonine kinase,11q22.3
399,Huntington disease,HTT,huntingtin,4p16.3
399,Huntington disease,SLC2A3,solute carrier family 2 member 3,12p13.31
501,Lafora disease,EPM2A,"EPM2A glucan phosphatase, laforin",6q24.3
501,Lafora disease,NHLRC1,NHL repeat containing E3 ubiquitin protein ligase 1,6p22.3
567,22q11.2 deletion syndrome,TBX1,T-box transcription factor 1,22q11.21
567,22q11.2 deletion syndrome,TBX1,T-box transcription factor 1,22q11.21
567,22q11.2 deletion syndrome,ARVCF,ARVCF delta catenin family member,22q11.21
567,22q11.2 deletion syndrome,GP1BB,glycoprotein Ib platelet subunit beta,22q11.21
567,22q11.2 deletion syndrome,UFD1,ubiquitin recognition factor in ER associated degradation 1,22q11.21
567,22q11.2 deletion syndrome,HIRA,histone cell cycle regulator,22q11.21
567,22q11.2 deletion syndrome,COMT,catechol-O-methyltransferase,22q11.21
567,22q11.2 deletion syndrome,JMJD1C,jumonji domain containing 1C,10q21.3
567,22q11.2 deletion syndrome,RREB1,ras responsive element binding protein 1,6p24.3
567,22q11.2 deletion syndrome,SEC24C,"SEC24 homolog C, COPII coat complex component",10q22.2
232,Sickle cell anemia,HBB,hemoglobin subunit beta,11p15.4
536,Systemic lupus erythematosus,BANK1,B cell scaffold protein with ankyrin repeats 1,4q24
536,Systemic lupus erythematosus,PXK,PX domain containing serine/threonine kinase like,3p14.3
536,Systemic lupus erythematosus,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),14q32.33
536,Systemic lupus erythematosus,CTLA4,cytotoxic T-lymphocyte associated protein 4,2q33.2
536,Systemic lupus erythematosus,TREX1,three prime repair exonuclease 1,3p21.31
536,Systemic lupus erythematosus,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",6p21.32
536,Systemic lupus erythematosus,IL10,interleukin 10,1q32.1
536,Systemic lupus erythematosus,MECP2,methyl-CpG binding protein 2,Xq28
536,Systemic lupus erythematosus,FCGR3B,Fc fragment of IgG receptor IIIb,1q23.3
536,Systemic lupus erythematosus,C4A,complement C4A (Chido/Rodgers blood group),6p21.33
536,Systemic lupus erythematosus,C4B,complement C4B (Chido/Rodgers blood group),6p21.33
536,Systemic lupus erythematosus,CR2,complement C3d receptor 2,1q32.2
536,Systemic lupus erythematosus,IRF5,interferon regulatory factor 5,7q32.1
536,Systemic lupus erythematosus,PDCD1,programmed cell death 1,2q37.3
536,Systemic lupus erythematosus,PTPN22,protein tyrosine phosphatase non-receptor type 22,1p13.2
536,Systemic lupus erythematosus,STAT4,signal transducer and activator of transcription 4,2q32.2-q32.3
536,Systemic lupus erythematosus,FCGR2B,Fc fragment of IgG receptor IIb,1q23.3
536,Systemic lupus erythematosus,DNASE1,deoxyribonuclease 1,16p13.3
536,Systemic lupus erythematosus,BLK,"BLK proto-oncogene, Src family tyrosine kinase",8p23.1
536,Systemic lupus erythematosus,ITGAM,integrin subunit alpha M,16p11.2
536,Systemic lupus erythematosus,KIAA0319L,KIAA0319 like,1p34.3
536,Systemic lupus erythematosus,JAZF1,JAZF zinc finger 1,7p15.2-p15.1
536,Systemic lupus erythematosus,TNIP1,TNFAIP3 interacting protein 1,5q33.1
536,Systemic lupus erythematosus,TNFAIP3,TNF alpha induced protein 3,6q23.3
536,Systemic lupus erythematosus,UBE2L3,ubiquitin conjugating enzyme E2 L3,22q11.21
536,Systemic lupus erythematosus,TNFSF4,TNF superfamily member 4,1q25.1
536,Systemic lupus erythematosus,SPP1,secreted phosphoprotein 1,4q22.1
536,Systemic lupus erythematosus,IRAK1,interleukin 1 receptor associated kinase 1,Xq28
536,Systemic lupus erythematosus,ETS1,"ETS proto-oncogene 1, transcription factor",11q24.3
536,Systemic lupus erythematosus,TLR7,toll like receptor 7,Xp22.2
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A1,collagen type IX alpha 1 chain,6q13
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A2,collagen type IX alpha 2 chain,1p34.2
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A3,collagen type IX alpha 3 chain,20q13.33
534,Oculocerebrorenal syndrome of Lowe,OCRL,OCRL inositol polyphosphate-5-phosphatase,Xq26.1
165991,Exercise-induced hyperinsulinism,SLC16A1,solute carrier family 16 member 1,1p13.2
652,Multiple endocrine neoplasia type 1,CDKN1B,cyclin dependent kinase inhibitor 1B,12p13.1
652,Multiple endocrine neoplasia type 1,CDKN1A,cyclin dependent kinase inhibitor 1A,6p21.2
652,Multiple endocrine neoplasia type 1,CDKN2B,cyclin dependent kinase inhibitor 2B,9p21.3
652,Multiple endocrine neoplasia type 1,CDKN2C,cyclin dependent kinase inhibitor 2C,1p32.3
652,Multiple endocrine neoplasia type 1,MEN1,menin 1,11q13
908,Fragile X syndrome,FMR1,fragile X messenger ribonucleoprotein 1,Xq27.3
47,X-linked agammaglobulinemia,BTK,Bruton tyrosine kinase,Xq22.1
905,Wilson disease,ATP7B,ATPase copper transporting beta,13q14.3
792,X-linked retinoschisis,RS1,retinoschisin 1,Xp22.13
827,Stargardt disease,CNGB3,cyclic nucleotide gated channel subunit beta 3,8q21.3
827,Stargardt disease,PRPH2,peripherin 2,6p21.1
827,Stargardt disease,ABCA4,ATP binding cassette subfamily A member 4,1p22.1
827,Stargardt disease,ELOVL4,ELOVL fatty acid elongase 4,6q14.1
827,Stargardt disease,PROM1,prominin 1,4p15.32
906,Wiskott-Aldrich syndrome,WAS,WASP actin nucleation promoting factor,Xp11.23
906,Wiskott-Aldrich syndrome,WIPF1,WAS/WASL interacting protein family member 1,2q31.1
904,Williams syndrome,STX1A,syntaxin 1A,7q11.23
904,Williams syndrome,TBL2,transducin beta like 2,7q11.23
904,Williams syndrome,GTF2IRD2,GTF2I repeat domain containing 2,7q11.23
904,Williams syndrome,VPS37D,VPS37D subunit of ESCRT-I,7q11.23
904,Williams syndrome,FKBP6,FKBP prolyl isomerase family member 6 (inactive),7q11.23
904,Williams syndrome,RFC2,replication factor C subunit 2,7q11.23
904,Williams syndrome,NCF1,neutrophil cytosolic factor 1,7q11.23
904,Williams syndrome,TMEM270,transmembrane protein 270,7q11.23
904,Williams syndrome,EIF4H,eukaryotic translation initiation factor 4H,7q11.23
904,Williams syndrome,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30,7q11.23
904,Williams syndrome,METTL27,methyltransferase like 27,7q11.23
904,Williams syndrome,BUD23,BUD23 rRNA methyltransferase and ribosome maturation factor,7q11.23
904,Williams syndrome,BAZ1B,bromodomain adjacent to zinc finger domain 1B,7q11.23
904,Williams syndrome,CLIP2,CAP-Gly domain containing linker protein 2,7q11.23
904,Williams syndrome,ELN,elastin,7q11.23
904,Williams syndrome,GTF2I,general transcription factor IIi,7q11.23
904,Williams syndrome,GTF2IRD1,GTF2I repeat domain containing 1,7q11.23
904,Williams syndrome,LIMK1,LIM domain kinase 1,7q11.23
280,Wolf-Hirschhorn syndrome,PIGG,phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group),4p16.3
280,Wolf-Hirschhorn syndrome,CPLX1,complexin 1,4p16.3
280,Wolf-Hirschhorn syndrome,CTBP1,C-terminal binding protein 1,4p16.3
280,Wolf-Hirschhorn syndrome,NSD2,nuclear receptor binding SET domain protein 2,4p16.3
280,Wolf-Hirschhorn syndrome,NELFA,negative elongation factor complex member A,4p16.3
280,Wolf-Hirschhorn syndrome,LETM1,leucine zipper and EF-hand containing transmembrane protein 1,4p16.3
15,Achondroplasia,FGFR3,fibroblast growth factor receptor 3,4p16.3
96,Ataxia with vitamin E deficiency,TTPA,alpha tocopherol transfer protein,8q12.3
101,Dentatorubral pallidoluysian atrophy,ATN1,atrophin 1,12p13.31
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,IL2RG,interleukin 2 receptor subunit gamma,Xq13.1
481,Kennedy disease,AR,androgen receptor,Xq12
664,Ornithine transcarbamylase deficiency,OTC,ornithine transcarbamylase,Xp11.4
394,Homocystinuria due to cystathionine beta-synthase deficiency,CBS,cystathionine beta-synthase,21q22.3
508,Donohue syndrome,INSR,insulin receptor,19p13.2
163596,Hb Bart's hydrops fetalis,HBA2,hemoglobin subunit alpha 2,16p13.3
163596,Hb Bart's hydrops fetalis,HBA1,hemoglobin subunit alpha 1,16p13.3
429,Hypochondroplasia,FGFR3,fibroblast growth factor receptor 3,4p16.3
104,Leber hereditary optic neuropathy,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,1q23.3
104,Leber hereditary optic neuropathy,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30,7q11.23
104,Leber hereditary optic neuropathy,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6,mitochondria
104,Leber hereditary optic neuropathy,MT-CO1,mitochondrially encoded cytochrome c oxidase I,mitochondria
104,Leber hereditary optic neuropathy,MT-CO3,mitochondrially encoded cytochrome c oxidase III,mitochondria
104,Leber hereditary optic neuropathy,MT-CYB,mitochondrially encoded cytochrome b,mitochondria
104,Leber hereditary optic neuropathy,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,mitochondria
104,Leber hereditary optic neuropathy,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,mitochondria
104,Leber hereditary optic neuropathy,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,mitochondria
104,Leber hereditary optic neuropathy,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,mitochondria
104,Leber hereditary optic neuropathy,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,mitochondria
104,Leber hereditary optic neuropathy,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,mitochondria
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,L1CAM,L1 cell adhesion molecule,Xq28
163634,Maffucci syndrome,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
163634,Maffucci syndrome,IDH1,isocitrate dehydrogenase (NADP(+)) 1,2q34
163717,Familial mesial temporal lobe epilepsy,CPA6,carboxypeptidase A6,8q13.2
649,Norrie disease,NDP,norrin cystine knot growth factor NDP,Xp11.3
163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,TBC1D24,TBC1 domain family member 24,16p13.3
163721,Rolandic epilepsy-speech dyspraxia syndrome,SRPX2,sushi repeat containing protein X-linked 2,Xq22.1
163721,Rolandic epilepsy-speech dyspraxia syndrome,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,16p13.2
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,SCP2,sterol carrier protein 2,1p32.3
163681,CNTNAP2-related developmental and epileptic encephalopathy,CNTNAP2,contactin associated protein 2,7q35-q36.1
379,Chronic granulomatous disease,CYBB,cytochrome b-245 beta chain,Xp21.1-p11.4
379,Chronic granulomatous disease,NCF1,neutrophil cytosolic factor 1,7q11.23
379,Chronic granulomatous disease,NCF2,neutrophil cytosolic factor 2,1q25.3
379,Chronic granulomatous disease,CYBA,cytochrome b-245 alpha chain,16q24.2
379,Chronic granulomatous disease,NCF4,neutrophil cytosolic factor 4,22q12.3
379,Chronic granulomatous disease,CYBC1,cytochrome b-245 chaperone 1,17q25.3
16,Blue cone monochromatism,OPN1MW,"opsin 1, medium wave sensitive",Xq28
16,Blue cone monochromatism,OPN1LW,"opsin 1, long wave sensitive",Xq28
644,NARP syndrome,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6,mitochondria
163699,Alveolar soft tissue sarcoma,TFE3,transcription factor binding to IGHM enhancer 3,Xp11.23
163699,Alveolar soft tissue sarcoma,ASPSCR1,"ASPSCR1 tether for SLC2A4, UBX domain containing",17q25.3
637,Full NF2-related schwannomatosis,NF2,"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor",22q12.2
163696,Action myoclonus-renal failure syndrome,SCARB2,scavenger receptor class B member 2,4q21.1
181,X-linked hypohidrotic ectodermal dysplasia,EDA,ectodysplasin A,Xq13.1
181,X-linked hypohidrotic ectodermal dysplasia,EDA2R,ectodysplasin A2 receptor,Xq12
163693,2p21 microdeletion syndrome,SLC3A1,solute carrier family 3 member 1,2p21
163693,2p21 microdeletion syndrome,PREPL,prolyl endopeptidase like,2p21
163693,2p21 microdeletion syndrome,CAMKMT,calmodulin-lysine N-methyltransferase,2p21
163693,2p21 microdeletion syndrome,PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B",2p21
163690,Hypotonia-cystinuria syndrome,SLC3A1,solute carrier family 3 member 1,2p21
163690,Hypotonia-cystinuria syndrome,PREPL,prolyl endopeptidase like,2p21
337,Fibrodysplasia ossificans progressiva,ACVR1,activin A receptor type 1,2q24.1
377,Gorlin syndrome,PTCH1,patched 1,9q22.32
377,Gorlin syndrome,SUFU,SUFU negative regulator of hedgehog signaling,10q24.32
377,Gorlin syndrome,PTCH2,patched 2,1p34.1
648,Noonan syndrome,RRAS,RAS related,19q13.33
648,Noonan syndrome,MRAS,muscle RAS oncogene homolog,3q22.3
648,Noonan syndrome,SPRED2,sprouty related EVH1 domain containing 2,2p14
648,Noonan syndrome,RRAS2,RAS related 2,11p15.2
648,Noonan syndrome,PTPN11,protein tyrosine phosphatase non-receptor type 11,12q24.13
648,Noonan syndrome,CBL,Cbl proto-oncogene,11q23.3
648,Noonan syndrome,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,2p22.1
